ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;637;0;1;02;00;00;10;83; 6; 1; 2;02;1;100;02
2018;638;0;1;02;00;00; 4;76; 1; 2; 2;03;1;125;03
2018;639;0;5;01;00;00; 1;73; 1; 1; 2;02;1;100;02
2018;640;1;1;05;00;04;10;74; 6; 4; 2;02;1;140;06
2018;641;0;2;02;00;02; 5;25; 6; 2; 1;03;3;065;04
2018;642;0;1;04;02;01; 7;43; 1; 3; 1;03;2;068;03
2018;643;0;5;03;00;03;10;53; 6; 3; 1;05;2;300;08
2018;644;0;2;03;00;00;10;67; 6; 1; 2;02;1;090;02
2018;645;0;1;01;00;01; 2;47; 1; 2; 1;04;5;090;04
2018;646;0;1;03;00;02; 6;58; 1; 4; 1;07;1;110;08
2018;647;0;5;02;00;00; 4;85; 1; 1; 2;02;1;130;02
2018;648;0;1;01;00;01; 2;45; 1; 4; 1;04;1;040;04
2018;649;0;1;04;00;02; 7;62; 6; 4; 1;05;1;086;07
2018;650;0;1;02;00;02; 5;30; 6; 4; 1;05;3;070;07
2018;651;0;1;05;03;01; 8;55; 1; 4; 1;07;1;125;07
2018;652;0;5;04;01;02; 7;44; 1; 2; 1;05;2;078;07
2018;653;0;1;04;01;01; 9;45; 6; 3; 1;-9;2;075;06
2018;654;0;5;02;00;01; 5;60; 1; 4; 1;04;1;250;05
2018;655;0;4;02;00;02; 5;56; 6; 2; 1;02;2;180;04
2018;656;1;1;02;00;00; 4;84; 1; 2; 2;02;1;090;02
2018;657;0;5;03;01;02; 6;43; 1; 2; 1;03;2;129;05
2018;658;1;1;03;00;01; 6;61; 1; 4; 1;07;1;075;07
2018;659;0;5;01;00;01; 3;29; 1; 4; 1;03;2;085;03
2018;660;0;5;04;00;01;10;63; 1; 2; 2;03;1;140;04
2018;661;0;5;02;00;00;10;73; 6; 4; 2;02;1;120;03
2018;662;0;4;04;01;01; 7;48; 1; 4; 1;06;2;098;06
2018;663;0;1;01;00;00; 1;83; 6; 1; 2;03;1;070;03
2018;664;0;1;04;00;03;10;58; 1; 4; 1;06;2;300;08
2018;665;1;5;03;00;02; 6;53; 1; 2; 1;-9;2;100;06
2018;666;0;4;02;00;01; 5;41; 1; 3; 1;04;5;110;04
2018;667;0;3;01;00;00; 1;66; 6; 2; 2;02;1;085;02
2018;668;0;1;02;00;01; 5;39; 1; 4; 2;02;1;060;05
2018;669;0;1;03;01;02; 6;39; 6; 4; 1;03;2;075;05
2018;670;0;1;01;00;00; 1;77; 6; 1; 2;02;1;085;02
2018;671;0;1;02;00;00; 5;64; 1; 1; 2;05;1;076;05
2018;672;0;3;02;00;00; 4;75; 1; 1; 2;04;1;120;05
2018;673;0;3;02;00;01; 5;59; 1; 3; 1;04;1;090;04
2018;674;1;1;03;00;02; 6;55; 1; 4; 1;06;1;070;08
2018;675;0;1;02;00;00; 4;78; 1; 4; 2;04;1;112;07
2018;676;0;1;02;00;01;10;83; 6; 1; 2;02;1;083;04
2018;677;0;3;03;00;01; 6;62; 1; 4; 2;06;1;100;08
2018;678;0;5;03;00;00;10;49; 1; 2; 2;01;1;100;02
2018;679;0;2;02;00;01; 5;31; 1; 4; 1;02;6;090;04
2018;680;0;1;02;00;00; 4;71; 1; 4; 2;07;2;070;08
2018;681;0;3;04;01;01; 7;41; 1; 3; 1;02;3;090;02
2018;682;0;1;01;00;01; 2;47; 1; 2; 1;03;5;042;03
